doi,paper_title,year,journal,sub_field,data_source,best_algorithm,best_metric_type,best_metric_value,validation_method,interpretability_method,model_framework,control_loop_type,scale,dataset_size,time_span,real_time_testing,deployed_in_plant,uses_real_wastewater,code_available,data_available,uncertainty_quantification,ml_algorithms,target_variable
10.1371/journal.pone.0325234,Comparative analysis of supervised learning models for effluent quality prediction in wastewater treatment plants,2025,PLOS One,WWTP,SCADA,XGBoost,R2,0.8131,random_split,none,sklearn,none,full_scale,84.0,7 years,False,False,True,False,True,False,ANN; AdaBoost; BP-NN; GB; GBM; LR; SVR; XGBoost,Effluent Quality Index (EQI)
10.1371/journal.pwat.0000040,Modelling point-of-consumption residual chlorine in humanitarian response: Can cost-sensitive learning improve probabilistic forecasts?,2022,PLOS Water,DBP,experimental,ANN,other,,random_split,none,keras,advisory,full_scale,2435.0,6 months,False,False,True,True,True,True,ANN; MLP,point-of-consumption free residual chlorine (FRC); point-of-consumption free residual chlorine (FRC) concentration
10.14428/esann/2023.es2023-133,Hybrid modelling of dynamic anaerobic digestion process in full-scale with LSTM NN and BMP measurements,2023,ESANN 2023 proceesdings,sludge,mixed,LSTM,other,36.0,temporal_split,none,not_specified,none,full_scale,3600.0,5 months,False,False,True,False,False,False,ANN; LSTM,methane yield
10.14569/ijacsa.2018.090153,Nonlinear Model Predictive Control for pH Neutralization Process based on SOMA Algorithm,2018,International Journal of Advanced Computer Science and Applications,control,simulated,NMPC with SOMA,other,,none_reported,none,not_specified,closed_loop,simulation,,,False,False,False,False,False,False,ANN; MPC; PID; SOMA,pH value
10.14569/ijacsa.2022.0130271,Data Visualization of Influent and Effluent Parameters of UASB-based Wastewater Treatment Plant in Uttar Pradesh,2022,International Journal of Advanced Computer Science and Applications,WWTP,experimental,LR,MSE,0.015,random_split,none,sklearn,none,full_scale,773.0,26 months,False,False,True,False,False,False,LR,BOD; DO; MPN; TSS; effluent COD; pH
10.14569/ijacsa.2022.0131077,Analyzing Multi-stage Reverse Osmosis Desalination Using Artificial Intelligence,2022,International Journal of Advanced Computer Science and Applications,membrane,simulated,ANN,MSE,6.0216,random_split,none,matlab,none,simulation,1000.0,,False,False,False,False,False,False,ANN; SVM; SVR,purity of water (percentage); purity percentage; water purity percentage
10.15244/pjoes/108925,"Uncertainty of Forecast and Control of Activated
Sludge Sedimentation Capacity",2020,Polish Journal of Environmental Studies,WWTP,SCADA,ANN,MAE,32.3,random_split,none,not_specified,advisory,full_scale,130.0,2 years,False,False,True,False,False,True,ANN; MLP,sludge sedimentation capacity (SE); sludge sedimentation capacity (SE) and sludge volume index (SVI)
10.15244/pjoes/169617,"FDA-SCN Network Based Soft Sensor
for Wastewater Treatment Process",2023,Polish Journal of Environmental Studies,WWTP,mixed,FDA-SCN,R2,0.98672,random_split,none,not_specified,none,simulation,1944.0,"14 days, 2 months",False,False,True,False,False,False,ANN; BP; CNN; ELM; Elman; FDA; GRA; LSTM; RNN; SCN,effluent TN concentration; effluent total nitrogen (TN) concentration
10.15255/kui.2021.001,Optimisation and Prediction of the Coagulant Dose for the Elimination of Organic Micropollutants Based on Turbidity,2021,Kemija u industriji,coagulation,experimental,ANN,R2,0.995,random_split,none,matlab,none,lab,47.0,,False,False,True,False,False,False,ANFIS; ANN; RSM; SVM; SVR,coagulant dose
10.15407/jai2023.02.107,Optimization of effluents using a neural network in the treatment of industrial wastewater,2023,Artificial Intelligence,WWTP,literature_compiled,ANN,R2,0.99914,none_reported,none,matlab,none,full_scale,,6 months,False,False,True,False,False,False,ANN; CFNN; MLP; SVR,COD; O&G concentrations; TDS; TSS; effluent BOD
10.15587/1729-4061.2023.276431,Optimizing biogas production using artificial neural network,2023,Eastern-European Journal of Enterprise Technologies,sludge,SCADA,ANN,R2,0.994696,random_split,none,matlab,advisory,full_scale,7.0,,False,False,True,False,True,False,ANN,and methane potential loss; biogas and methane output; biogas volume; biogas yield potential; biogas yield potential and methane volume
10.1590/0104-6632.20180354s20170039,APPLICATION OF UNCERTAINTY ANALYSIS OF ARTIFICIAL NEURAL NETWORKSFOR PREDICTING COAGULANT AND ALKALIZER DOSAGES IN A WATER TREATMENT PROCESS,2018,Brazilian Journal of Chemical Engineering,coagulation,experimental,ANN,R2,0.85,random_split,none,not_specified,none,full_scale,1910.0,6 years,False,False,True,False,False,True,ANN; MLP,aluminum sulfate dosage; coagulant (aluminum sulfate) and alkalizer (sodium hydroxide) dosages; coagulant and alkalizer dosages
10.17979/spudc.9788497497565.0621,A recurrent neural network for wastewater treatment plant effuents' prediction,2020,"Actas de las XXXIX Jornadas de Automática, Badajoz, 5-7 de Septiembre de 2018",WWTP,simulated,LSTM,MAPE,4.69,random_split,none,not_specified,advisory,simulation,58464.0,609 days,False,False,False,False,False,False,ANN; LSTM; MLP; RNN,e) and total nitrogen (SNtot; e) concentrations; effluent ammonium (SNH; effluent total nitrogen concentration
10.18517/ijaseit.10.1.9577,Modeling Methane Emission of Wastewater Anaerobic Pond at Palm Oil Mill Using Radial Basis Function Neural Network,2020,"International Journal on Advanced Science, Engineering and Information Technology",sludge,experimental,ANN,R2,0.8848,random_split,none,matlab,none,full_scale,6.0,2 months,False,False,True,False,False,False,ANN; RBFNN,methane emissions from anaerobic pond; methane emissions from anaerobic pond (mg/m2/day); methane emissions per day
10.21307/ijssis-2021-016,Improving total nitrogen removal using a neural network ammonia-based aeration control in activated sludge process,2021,International Journal on Smart Sensing and Intelligent Systems,control,simulated,ANN,R2,0.99019,none_reported,none,matlab,closed_loop,simulation,,7 days evaluation with dry/rain/storm weather files,False,False,False,False,False,False,ANN,oxygen transfer coefficient (KLa) for aeration control to minimize total nitrogen and ammonia effluent violations; oxygen transfer coefficient (Ka) for aeration control; oxygen transfer coefficient (Kla)
10.2166/aqua.2021.091,Data-driven and model-based framework for smart water grid anomaly detection and localization,2021,Journal of Water Supply: Research and Technology-Aqua,monitoring,SCADA,EWMA,accuracy,0.981,temporal_split,none,not_specified,advisory,full_scale,,1 year,False,False,True,False,False,False,ANN; CUSUM; DNN; EWMA; SPC; SVM; X-bar,anomaly events (pipe bursts; anomaly events (pipe bursts and unauthorized water usage) in water distribution systems; unauthorized usage); water distribution system anomalies (pipe bursts and unauthorized usage)
10.2166/aqua.2023.007,Securing drinking water supply in smart cities: an early warning system based on online sensor network and machine learning,2023,"AQUA — Water Infrastructure, Ecosystems and Society",monitoring,SCADA,SVR,R2,0.64,k_fold,none,sklearn,advisory,full_scale,1120.0,2014-2016,False,False,True,False,False,False,ANFIS; ANN; CNN; LR; LSTM; RF; SVM; SVR,Total chlorine (TCl) concentration; total chlorine (TCl) concentration in drinking water distribution system pipelines; total chlorine concentration
10.2166/aqua.2023.062,Design and application of soft sensors in rural sewage treatment facilities,2023,"AQUA — Water Infrastructure, Ecosystems and Society",monitoring,experimental,Bagging,RMSE,0.9999,external,none,sklearn,advisory,mixed,94852.0,45 days,True,True,True,False,False,False,AdaBoost; Bagging; Bayesian; DT; LR; RR,COD; NH4+-N; NO3--N; PO43--P concentrations
10.2166/aqua.2023.218,A Big Data framework for actionable information to manage drinking water quality,2023,"AQUA — Water Infrastructure, Ecosystems and Society",monitoring,SCADA,RUSBoost,other,0.72,temporal_split,feature_importance,matlab,advisory,full_scale,,8 years,False,False,False,False,False,False,ANN; AdaBoost; Boosting; KNN; LSTM; PCA; RF; RUSBoost; SOM; SOMs; SVM; tSNE,classification of service reservoirs as high-risk or low-risk for low chlorine concentration events; low chlorine concentration events; low chlorine concentration events in service reservoirs
10.2166/hydro.2023.028,"Application of black-box models based on artificial intelligence for the prediction of chlorine and TTHMs in the trunk network of Bogotá, Colombia",2023,Journal of Hydroinformatics,DBP,simulated,ANFIS,NSE,0.9702,random_split,none,matlab,none,simulation,111.0,55 hours,False,False,False,False,False,False,ANFIS; ANN; EPR-MOGA; GA; NSGA-II,chlorine and TTHM concentrations; chlorine and total trihalomethane (TTHM) concentrations in water distribution network nodes
10.2166/hydro.2023.122,A methodology for integrating time-lagged rainfall and river flow data into machine learning models to improve prediction of quality parameters of raw water supplying a treatment plant,2023,Journal of Hydroinformatics,monitoring,mixed,ANN,R2,0.87,random_split,none,r,none,full_scale,3893.0,6 months,False,False,True,False,False,False,ANN; SVR,raw water turbidity and UV absorbance at 254 nm; turbidity; turbidity and UV254
10.2166/hydro.2024.167,LSTM-based autoencoder models for real-time quality control of wastewater treatment sensor data,2024,Journal of Hydroinformatics,monitoring,SCADA,LSTM,R2,0.99,random_split,none,tensorflow,none,full_scale,,10 months,False,False,True,False,False,False,ANN; ARIMA; LSTM,NH4+ and NO3- concentrations; reconciled sensor signal (NO3 and NH4 concentrations); reconstructed sensor signals (NH4 and NO3 concentration)
10.2166/wcc.2023.052,Assessing machine learning tools for methane emission prediction from POME treatment in Malaysia,2023,Journal of Water and Climate Change,sludge,SCADA,SVM,R2,0.45,none_reported,none,matlab,none,full_scale,96.0,2 years,False,False,True,False,False,False,ANN; Bagging; DT; Ensemble of trees; LR; SVM; SVR; Stacking,methane emission volume; methane emission volume from POME treatment
10.2166/wpt.2023.197,ACWA: an AI-driven cyber-physical testbed for intelligent water systems,2023,Water Practice &amp; Technology,monitoring,mixed,not_specified,,,none_reported,none,not_specified,none,lab,,,False,False,False,True,True,False,ANN; DL; DNN; RL,BOD; DO; EC; Nitrate; etc.); flow rate); nitrate; pressure; pressure); turbidity; water level; water quality and hydraulic parameters (pH; water quality parameters (pH
10.2166/wqrj.2024.061,Water quality polluted by total suspended solids classified within an artificial neural network approach,2024,Water Quality Research Journal,monitoring,experimental,CNN,accuracy,0.9985,random_split,none,pytorch,none,lab,6515.0,,False,False,False,True,True,False,ANN; AlexNet; CNN,TSS concentration class (low; TSS concentration level (low; TSS pollution level classification (low; high); medium
10.2166/wrd.2023.046,Gradient-Boosted Decision Tree with used Slime Mould Algorithm (SMA) for wastewater treatment systems,2023,Water Reuse,WWTP,not_specified,GBDT-SMA,accuracy,0.9632,random_split,none,not_specified,none,full_scale,500.0,,False,False,True,False,False,False,ANN; CNN; DCNN; DNN; GBDT; GBM; KNN; RF; SMA,effluent COD; effluent COD concentration; effluent Chemical Oxygen Demand (COD)
10.2166/wrd.2023.154,Assessment of carbon neutrality in waste water treatment systems through deep learning algorithm,2023,Water Reuse,WWTP,not_specified,DLMNN-BSHO,accuracy,0.99637,random_split,none,not_specified,none,simulation,300.0,,False,False,False,False,False,False,ANN; BKNN; BSHO; CNN; DLMNN; DNN; ELM; KNN,BOD; COD; T-N; T-P); TN; TP); TSS; wastewater quality classification; wastewater quality classification (COD; wastewater quality indicators (BOD
10.2166/wrd.2023.179,Tertiary treatment using ultrafiltration in an existing sewage treatment plant for industrial reuse: a modelling approach using artificial neural network with uncertainty estimation,2023,Water Reuse,WWTP,SCADA,ANN,R2,0.94,random_split,none,not_specified,advisory,full_scale,1096.0,3 years,False,False,True,False,False,True,ANN; GA,BOD; COD; TSS; and TSS; effluent QT; secondary treated effluent flow rate (QT)
10.2166/ws.2018.173,Utilizing variable selection methods in modelling potable water quality,2018,Water Supply,coagulation,SCADA,MLR,R2,0.75,k_fold,none,matlab,advisory,full_scale,487.0,16 months,False,False,True,False,False,False,ANN; CV; GA; MLR; SPA,residual aluminium; residual aluminium and turbidity in drinking water; residual aluminium and turbidity in treated drinking water
10.2166/ws.2021.062,Detection of water quality failure events at treatment works using a hybrid two-stage method with CUSUM and random forest algorithms,2021,Water Supply,monitoring,SCADA,RF,F1,0.84,temporal_split,none,not_specified,advisory,full_scale,332640.0,3 years 2 months,False,False,True,False,False,False,ANN; CUSUM; DNN; LR; LSTM; RF; RNN; SVM,WTW failure event detection (binary classification); failure event presence at water treatment works (binary classification); presence of a failure event at the WTW
10.2166/ws.2023.219,Coagulant dosage prediction in the water treatment process,2023,Water Supply,coagulation,SCADA,ANN,MSE,0.016,random_split,none,matlab,none,full_scale,6861.0,670 days,False,False,True,False,False,False,ANN; MLP,coagulant dosage
10.2166/ws.2023.328,Reinforcement learning-based DSS for coagulant and disinfectant dosage selection on drinking water treatment plants,2023,Water Supply,coagulation,mixed,RL,other,29.32,external,none,matlab,advisory,mixed,30000.0,2 years,False,False,True,False,True,False,ANN; RL,coagulant and chlorine dosage recommendations; coagulant and chlorine dosages
10.2166/wst.2018.263,Chemical coagulation of greywater: modelling using artificial neural networks,2018,Water Science and Technology,coagulation,experimental,ANN,RMSE,0.99,random_split,feature_importance,matlab,none,lab,140.0,5 months,False,False,True,False,False,False,ANN; MLP,optimum coagulant dosage; optimum coagulant dosage (alum and PACl); optimum coagulant dosage and treated greywater quality
10.2166/wst.2018.477,Wastewater treatment plant performance analysis using artificial intelligence – an ensemble approach,2018,Water Science and Technology,WWTP,SCADA,NNE,R2,0.968,random_split,none,not_specified,none,full_scale,,2 years,False,False,True,False,False,False,ANFIS; ANN; FFNN; LR; MLR; NNE; SAE; SVM; Stacking; WAE,COD; and TN; and total nitrogen; and total nitrogen concentrations; effluent BOD
10.2166/wst.2021.067,Evaluation of the effluent quality parameters of wastewater treatment plant based on uncertainty analysis and post-processing approaches (case study),2021,Water Science and Technology,WWTP,SCADA,NNE,R2,0.81,temporal_split,none,not_specified,none,full_scale,,"April 2009 to November 2017 (daily/weekly), April 2002 to November 2017 (monthly)",False,False,True,False,False,True,ANN; FFNN; LR; MLR; NNE; SVM; SVR; Stacking,COD; TSS); and TSS concentrations; effluent BOD; effluent quality parameters (BOD
10.2166/wst.2021.238,The effect of mobile camera selection on the capacity to predict water turbidity,2021,Water Science and Technology,monitoring,experimental,LR,other,0.805,k_fold,none,not_specified,none,lab,240.0,,False,False,False,True,True,False,LASSO; LR,water turbidity (volume/volume percentage concentration); water turbidity level; water turbidity level (volume/volume percentage concentration)
10.2166/wst.2024.099,Optimizing neural network algorithms for submerged membrane bioreactor: A comparative study of OVAT and RSM hyperparameter optimization techniques,2024,Water Science &amp; Technology,membrane,experimental,ANN,R2,0.9744,random_split,none,matlab,none,pilot,4000.0,,False,False,True,False,False,False,ANN; FFNN; RBFNN; RSM,permeate flux; permeate flux of palm oil mill effluent
10.2166/wst.2024.293,Hybrid modelling of nitrogen removal by biofiltration using high-frequent operational data,2024,Water Science &amp; Technology,WWTP,SCADA,ANN,RMSE,0.17,temporal_split,none,matlab,none,full_scale,10176.0,3.5 months,False,False,True,False,False,False,ANN; DT; LR; SVM,effluent NO3-N concentration at predenitrification stage outlet; effluent NO3-N residual error; effluent nitrate concentration (NO3-N)
10.21741/9781644901311-8,A Machine Learning Approach for Anaerobic Reactor Performance Prediction Using Long Short-Term Memory Recurrent Neural Network,2021,Materials Research Proceedings,sludge,SCADA,LSTM,R2,0.23,walk_forward,none,matlab,none,full_scale,365.0,1 year,False,False,True,False,False,False,ANN; LSTM; RNN,biogas production
10.22452/mjs.sp2019no2.7,MULTIVARIATE CUSUM CONTROL CHART BASED ON THE RESIDUALS OF MULTIOUTPUT LEAST SQUARES SVR FOR MONITORING WATER QUALITY,2019,Malaysian Journal of Science,monitoring,SCADA,LSSVM,MSE,4.605e-05,temporal_split,none,not_specified,advisory,full_scale,384.0,16 days,False,False,True,False,False,False,LSSVM; SVR,water turbidity and chlorine residual; water turbidity and chlorine residual anomaly detection
10.23919/ccc52363.2021.9550511,Fault detection and isolation for wastewater treatment plants using interval prediction and Bayesian reasoning,2021,2021 40th Chinese Control Conference (CCC),monitoring,simulated,ANN,other,98.93,temporal_split,none,not_specified,none,simulation,1344.0,14 days,False,False,False,False,False,True,ANN; Bayesian; GPR; RBF,BOD; Qe; Qe); Qe) for fault detection; effluent TSS; effluent variable confidence interval (TSS; effluent variables (TSS
10.23919/softcom.2019.8903866,Toward a Smart Real Time Monitoring System for Drinking Water Based on Machine Learning,2019,"2019 International Conference on Software, Telecommunications and Computer Networks (SoftCOM)",monitoring,SCADA,SVM,accuracy,0.98,random_split,none,matlab,none,full_scale,103.0,1 year,False,False,True,False,False,False,DT; KNN; SVM,water quality anomaly; water quality anomaly classification; water quality compliance/anomaly detection
10.2478/ceer-2020-0059,Artificial Neural Network as a Virtual Sensor of Nitrate Nitrogen (V) Concentration in an Activated Sludge Reactor,2020,Civil and Environmental Engineering Reports,WWTP,simulated,ANN,MAE,0.094,random_split,none,not_specified,none,simulation,8065.0,84 days,False,False,False,False,False,False,ANN; MLP,nitrate nitrogen (V) concentration; nitrate nitrogen (V) concentration in denitrification chamber; nitrate nitrogen (V) concentration in the denitrification chamber
10.2478/ceer-2022-0066,Short-Term Forecast of Oxygen Concentration in Nitrification Chamber Using Artificial Neural Network,2022,Civil and Environmental Engineering Reports,WWTP,simulated,ANN,MSE,0.00029,random_split,none,not_specified,open_loop,simulation,8065.0,84 days,False,False,False,False,False,False,ANN,dissolved oxygen concentration in nitrification chamber (1-hour ahead forecast); oxygen concentration in the aeration chamber; oxygen concentration in the aeration chamber (average of the next hour)
10.2495/wrm190101,MACHINE LEARNING AS A DECISION SUPPORT TOOL FOR WASTEWATER TREATMENT PLANT OPERATION,2019,WIT Transactions on Ecology and the Environment,WWTP,SCADA,GBM,MAPE,0.96,k_fold,none,not_specified,advisory,full_scale,1096.0,3 years,False,False,True,False,False,False,ANN; GBM; KNN; LR; PCA; k-means,daily aeration time; daily operating time of aerators
10.30574/gscaet.2022.4.2.0033,Performance analysis and control of wastewater treatment plant using Adaptive Neuro-Fuzzy Inference System (ANFIS) and Multi-Linear Regression (MLR) techniques,2022,GSC Advanced Engineering and Technology,WWTP,SCADA,LR,R2,0.996128,random_split,none,matlab,none,full_scale,,,False,False,True,False,False,False,ANFIS; LR; MLR,BOD; COD; Iron; TDS; TSS; effluent conductivity; pH
10.30574/wjaets.2025.17.3.1546,Machine learning–based methane yield prediction using a structured anaerobic digestion dataset,2025,World Journal of Advanced Engineering Technology and Sciences,sludge,experimental,LightGBM,R2,0.95,k_fold,feature_importance,not_specified,none,lab,500.0,,False,False,True,False,False,False,CatBoost; ET; Elastic Net; GBM; KNN; LR; LightGBM; XGBoost,methane yield; methane yield (mL CH4/g VS)
10.30955/gnc2019.00238,Employing data-driven models in the optimization of chemical usage in water treatment plants,2022,Global NEST International Conference on Environmental Science &amp; Technology,coagulation,SCADA,GPR,R2,0.72,k_fold,none,not_specified,advisory,full_scale,,24 months and 14 months,False,False,True,False,False,True,GPR; RF,effluent turbidity
10.30955/gnj.003923,Improving Water Quality Assessment through Anomaly Detection Using Hybrid Convolutional Neural Network Approach,2021,Global NEST Journal,monitoring,literature_compiled,Hybrid CNN-ELM,F1,0.92,random_split,none,not_specified,none,full_scale,132480.0,3 months,False,False,True,False,True,False,ANN; CNN; ELM; LR; LSTM; RNN; SVM,anomaly detection (binary classification); anomaly detection in water quality sensor data (binary: anomalous or normal); anomaly event detection
10.30955/gnj.004503,Water Desalination Plant Fault Detection using Artificial Neural Network,2022,Global NEST Journal,monitoring,simulated,ANN,accuracy,0.9705,random_split,none,not_specified,none,full_scale,,,False,False,False,False,False,False,ANN; DPLS; PCA; SVR,control disabled; derived; external; fault type (f1-f7); fault type classification; fault type classification (inaccurate signal; invalid faults); not under system control; old data
10.31185/ejuow.vol10.iss3.317,Statistical indicators to evaluate the performance of electrocoagulation with membrane bioreactor (EC-MBR) for treatment of organic matters in domestic wastewater,2022,Wasit Journal of Engineering Sciences,membrane,experimental,LR,accuracy,0.996,none_reported,none,not_specified,none,pilot,71.0,43 days,False,False,True,False,False,False,ANN; LR,BOD and COD removal efficiency; COD and BOD removal efficiency; total removal efficiency of BOD and COD
10.31202/ecjse.1135485,Missing IoT Data Prediction with Machine Learning Techniques,2022,El-Cezeri Fen ve Mühendislik Dergisi,monitoring,SCADA,SVM,RMSE,0.116,random_split,none,sklearn,none,full_scale,4320.0,1 month,False,False,True,False,False,False,AdaBoost; DT; KNN; LR; RF; SVM; SVR,missing pH values in medical waste neutralization system; pH; pH value
10.3233/ajw190041,Predicting the Quality of Treated Water from an Activated Carbon Based Water Purifier Using Artificial Neural Network,2019,"Asian Journal of Water, Environment and Pollution",monitoring,experimental,SFS,other,0.893794,none_reported,none,not_specified,none,lab,200.0,,False,False,True,False,False,False,ANN; GNN,EC; TDS); TDS) and Water Quality Index of purified water; WQI of purified water and water quality parameters (pH; water quality index (WAWQI); water quality parameters (pH
10.3233/jifs-212676,"Modelling of wastewater treatment, microalgae growth and harvesting by flocculation inside photo bioreactor using machine learning technique",2022,Journal of Intelligent &amp; Fuzzy Systems,WWTP,experimental,ANFIS+MFCM+MLP,R2,0.999,random_split,none,matlab,open_loop,pilot,246.0,7 days,False,False,True,False,False,False,ANFIS; ANN; DMLP; ILF-CSO; MFCM,and pH of treated wastewater; cultivation growth rate; cultivation growth rate and pH of treated wastewater; effluent T-N concentrations; effluent TN concentration
10.32604/csse.2023.039645,Prediction of the Wastewater’s pH Based on Deep Learning Incorporating Sliding Windows,2023,Computer Systems Science and Engineering,WWTP,SCADA,CNN,R2,0.968,random_split,feature_importance,not_specified,advisory,full_scale,8760.0,1 year,False,False,True,False,False,False,BPNN; CNN; DNN; FNN; GRU; LSTM; RF; RNN,effluent pH; wastewater pH
10.3311/ppch.13866,Dynamic Modeling of Streptomyces hygroscopicus Fermentation Broth Microfiltration by Artificial  Neural Networks,2019,Periodica Polytechnica Chemical Engineering,membrane,experimental,ANN,R2,0.9993,random_split,feature_importance,matlab,none,lab,431.0,,False,False,True,False,False,False,ANN,permeate flux; permeate flux decline during cross-flow microfiltration
10.3384/ecp200037,Estimation of effluent nutrients in municipal MBBR process,2023,Linköping Electronic Conference Proceedings,WWTP,SCADA,State-Space,other,18.3,temporal_split,none,matlab,none,full_scale,17280.0,4 months,False,False,True,False,False,False,ARX; LR; State-Space; Transfer Function; state-space; state-space models; transfer function models,effluent phosphorus concentration; effluent phosphorus concentration (PO4out)
10.3389/fenve.2024.1373881,Comparative study for the performance of pure artificial intelligence software sensor and self-organizing map assisted software sensor in predicting 5-day biochemical oxygen demand for Kauma Sewage Treatment Plant effluent in Malawi,2024,Frontiers in Environmental Engineering,WWTP,mixed,ANFIS,other,0.94,random_split,none,matlab,none,full_scale,616.0,30 days,False,False,True,False,False,False,ANFIS; ANN; MLR; RF; SOM; SVM,effluent BOD5; effluent BOD5 concentration
10.3389/fenve.2025.1488965,Graph neural network-based water contamination detection from community housing information,2025,Frontiers in Environmental Engineering,monitoring,mixed,GAT,AUC,0.93,k_fold,LIME,pytorch,none,full_scale,916.0,1 year,False,False,True,False,True,False,ET; GAT; KNN; LDA; LR; RF; SVC; SVM; Stacking; XGBoost,lead contamination level; lead contamination level classification; lead contamination level classification in drinking water (binary/multi-class by ppb threshold)
10.3389/fenvs.2022.1027693,Water chemical oxygen demand prediction model based on the CNN and ultraviolet-visible spectroscopy,2022,Frontiers in Environmental Science,monitoring,experimental,CNN,R2,0.996,random_split,none,tensorflow,none,lab,450.0,,False,False,False,False,True,False,ANN; BP; CNN; LR; PCA; PLSR,COD concentration; chemical oxygen demand (COD)
10.3389/fevo.2023.1199870,ANN-based prediction of ammonia nitrogen for wastewater discharge indicators under carbon neutral trend,2023,Frontiers in Ecology and Evolution,WWTP,SCADA,ANN,R2,0.926,random_split,none,keras,none,full_scale,,,False,False,True,False,False,False,ANN; DT; GBDT; GBM; KNN; LR; RF; SVM,ammonia nitrogen content; effluent ammonia nitrogen concentration
10.3389/frwa.2023.1199632,Forecasting bacteriological presence in treated drinking water using machine learning,2023,Frontiers in Water,monitoring,SCADA,KNN,NSE,0.96,k_fold,feature_importance,matlab,none,full_scale,8937.0,1 year,False,False,True,False,False,False,ANN; AdaBoost; KNN; LSTM; RF; RusBoost; SVM; SVR,total cell counts; total cell counts (TCCs) in treated water; total cell counts (TCCs) of bacteria in treated drinking water outlet 12 hours ahead
10.3390/a16050248,Time-Series Forecasting of Seasonal Data Using Machine Learning Methods,2023,Algorithms,WWTP,SCADA,XGBoost,R2,0.975,temporal_split,none,keras,none,full_scale,457.0,19 days,False,False,True,True,True,False,ANN; ETS; GBM; Holt-Winters; LSTM; Prophet; RNN; SARIMA; XGBoost,inlet flow of wastewater; inlet flow to wastewater treatment plant
10.3390/app11125434,A Neural Network Model for Decision-Making with Application in Sewage Sludge Management,2021,Applied Sciences,sludge,literature_compiled,ANN,MAPE,14.88,random_split,none,tensorflow,advisory,mixed,300.0,,False,False,False,False,False,False,ANN; BP; RNN,composting; dewatering; disposal method); disposal); optimal sewage sludge treatment strategy (thickening; sludge treatment strategy selection for each phase (thickening; stabilization; suitable sludge management strategy (array of 6 process stages); thermal drying
10.3390/app12126079,Convolutional Neural Network for Measurement of Suspended Solids and Turbidity,2022,Applied Sciences,monitoring,experimental,CNN,R2,0.999,random_split,none,pytorch,none,lab,88000.0,,False,False,False,False,False,False,AlexNet; CNN; LR; MLR,Total Suspended Solids (TSS) concentration and turbidity; total suspended solids (TSS) and turbidity; total suspended solids (TSS) concentration and turbidity (NTU)
10.3390/app122412914,Data-Driven Approach to Modeling Biohydrogen Production from Biodiesel Production Waste: Effect of Activation Functions on Model Configurations,2022,Applied Sciences,sludge,experimental,ANN,R2,0.978,random_split,feature_importance,not_specified,none,lab,29.0,,False,False,True,False,False,False,ANN; GPR; MLPNN; RBFNN; SVM,biohydrogen production; biohydrogen production volume from waste glycerol
10.3390/app13084752,Advanced Control by Reinforcement Learning for Wastewater Treatment Plants: A Comparison with Traditional Approaches,2023,Applied Sciences,control,simulated,RL,other,,none_reported,none,not_specified,closed_loop,simulation,,2 years,False,False,False,False,False,False,ANN; DT; GRU; KNN; LSTM; RF; RL; RNN; SVM; SVR,Operation Cost; dissolved oxygen set-point; dissolved oxygen set-point for minimizing plant operation cost
10.3390/app13127011,An Attention-Based CNN-LSTM Method for Effluent Wastewater Quality Prediction,2023,Applied Sciences,WWTP,SCADA,CNN-LSTM-Attention,MSE,0.92,temporal_split,attention_weights,not_specified,none,full_scale,2622.0,7 months,False,False,True,False,False,False,ANN; CNN; DNN; LSTM; RF; RNN,NH3-N; TN; TN concentrations; TP; and TN; effluent COD
10.3390/app13137461,LSTM Network for the Oxygen Concentration Modeling of a Wastewater Treatment Plant,2023,Applied Sciences,WWTP,SCADA,LSTM,RMSE,0.206,temporal_split,none,tensorflow,none,full_scale,,36 days,False,False,True,True,True,False,ARX; LSTM,oxygen concentration; oxygen concentration in biological reactor
10.3390/app13137848,Data-Based Modelling of Chemical Oxygen Demand for Industrial Wastewater Treatment,2023,Applied Sciences,WWTP,SCADA,ARX,other,0.89,k_fold,none,matlab,none,full_scale,4300.0,1 year,False,False,True,False,False,True,ARMAX; ARX; LASSO; LR; MLR; PLSR,effluent COD; effluent COD concentration
10.3390/app132212406,Microorganism Detection in Activated Sludge Microscopic Images Using Improved YOLO,2023,Applied Sciences,monitoring,experimental,Improved YOLO,other,0.937,random_split,none,not_specified,none,lab,1000.0,,False,False,True,False,False,False,CNN; DC-GAN; Faster R-CNN; R-CNN; SSD; SVM; YOLOv5,epistylis); filamentous bacteria; granular sludge flocs; microorganism class and bounding box (granular sludges; microorganism class and bounding box location in activated sludge microscopic images; microorganism detection and classification in activated sludge images; rotifers
10.3390/app14020901,Biogas Production Prediction Based on Feature Selection and Ensemble Learning,2024,Applied Sciences,sludge,SCADA,Stacking,MSE,74.489,k_fold,none,not_specified,none,full_scale,6480.0,23 days,False,False,True,False,False,False,ANN; CatBoost; LSTM; LightGBM; RF; RNN; SVM; SVR; Stacking; XGBoost,biogas production
10.3390/app14198622,Hypertuning-Based Ensemble Machine Learning Approach for Real-Time Water Quality Monitoring and Prediction,2024,Applied Sciences,monitoring,mixed,Ensemble,accuracy,0.998,random_split,none,sklearn,none,full_scale,34607.0,2 years,True,False,True,False,False,False,Bayesian; DT; GBM; GNB; HGB; KNN; LR; RF; SVM; XGB; XGBoost,water quality class; water quality class (WQI); water quality class (multi-class classification: excellent to bad)
